one-digit ZIP,Year,HPI with 2000 base,HPI,Annual Change (%),Percent change since 2000,HPI year by year percent change since 2000,Percent change since 2010,zip
plains,2011,122.08302325581394,295.9038372093023,-1.7591860465116278,22.08302325581394,-1.7288711466372342,-1.7288711466372297,6
plains,2012,121.72581395348837,294.0447674418605,-0.3598837209302326,21.72581395348837,-0.29259539352746167,-2.0164079428296056,6
plains,2013,123.14093023255815,297.5113953488372,1.1301162790697674,23.140930232558148,1.162544108853103,-0.8773054657263055,6
plains,2014,126.04651162790698,305.53837209302327,2.3333720930232555,26.04651162790698,2.3595577764935483,1.4615517814271042,6
plains,2015,129.45081395348836,314.2756976744186,2.71546511627907,29.450813953488364,2.7008302583025667,4.2018560724832215,6
plains,2016,133.3946511627907,324.5445348837209,3.0522093023255814,33.394651162790694,3.046591279618638,7.3764607327882645,6
plains,2017,137.48046511627908,334.7944186046512,3.0125581395348835,37.48046511627908,3.062951863416319,10.665350037673685,6
plains,2018,141.8168604651163,345.90802325581393,3.166627906976744,41.81686046511629,3.1541901936173566,14.155945656294316,6
plains,2019,146.63720930232557,357.7175581395349,3.3430232558139537,46.63720930232557,3.3989955929076388,18.036101218193803,6
plains,2020,150.83941860465117,367.5293023255814,2.8193023255813956,50.83941860465118,2.8657182732261255,21.41868333980728,6
south central,2000,100.0,223.05922222222225,4.005333333333334,0.0,-33.704332113544446,-27.28559551885364,7
south central,2001,104.884,234.13766666666666,4.884,4.884,4.8839999999999995,-23.73422400399445,7
south central,2002,108.19877777777778,240.04802197802198,3.159222222222222,8.198777777777778,3.1604227315680022,-21.323903083009963,7
south central,2003,111.08833333333334,246.44868131868134,2.65021978021978,11.088333333333338,2.6705990722836415,-19.222779968635855,7
south central,2004,115.39566666666667,255.84791208791208,3.8436263736263734,15.39566666666667,3.8773948659475144,-16.090728186284615,7
south central,2005,121.86677777777778,270.1353846153846,5.568681318681318,21.866777777777784,5.607759197582052,-11.385298278526875,7
south central,2006,130.24922222222222,288.7147252747253,6.828681318681318,30.249222222222215,6.878367178731581,-5.290053719786168,7
south central,2007,136.7168888888889,302.6421978021978,4.884835164835165,36.71688888888889,4.965608666462495,-0.5871284192938874,7
south central,2008,139.27144444444446,307.6936263736264,1.8483516483516482,39.271444444444455,1.8685003559667512,1.270401440068383,7
south central,2009,139.01211111111112,306.9158241758242,-0.15527472527472527,39.012111111111125,-0.18620711113309651,1.0818287511139453,7
